"First name","Second name","ID"
"CURTIS","LESCHYSHYN",474
"CURTIS","MCKENZIE",475
"CUTTER","GAUTHIER",476
"DAEMON","HUNT",477
"DAINIUS","ZUBRUS",478
"DAKOTA","JOSHUA",479
"DAKOTA","MERMIS",480
"DALE","HAWERCHUK",481
"DALIBOR","DVORSKY",482
"DALLAS","SMITH",483
"DALTON","SMITH",484
"DAMON","SEVERSON",485
"DAN","BOYLE",486
"DAN","GIRARDI",487
"DAN","HINOTE",488
"DAN","KECZMER",489
"DAN","QUINN",490
"DANA","MURZYN",491
"DANIEL","ALFREDSSON",492
"DANIEL","BRIERE",493
"DANIEL","BRODIN",494
"DANIEL","CARR",495
"DANIEL","D'AMATO",496
"DANIEL","PAILLE",497
"DANIEL","SEDIN",498
"DANIEL","ZAAR",499
"DANIELLE","SERDACHNY",500
"DANIIL","MIROMANOV",501
"DANILA","KLIMOVICH",502
"DANNY","GARE",503
"DANNY","GRANT",504
"DANNY","ZHILKIN",505
"DANTE","FABBRO",506
"DANTON","HEINEN",507
"DANY","HEATLEY",508
"DARA","GREIG",509
"DARCY","TUCKER",510
"DARIUS","KASPARAITIS",511
"DARNELL","NURSE",512
"DARREN","LANGDON",513
"DARREN","MCCARTY",514
"DARREN","RADDYSH",515
"DARREN","TURCOTTE",516
"DARRYL","SITTLER",517
"DARRYL","SUTTER",518
"DARYL","WATTS",519
"DAVE","ANDREYCHUK",520
"DAVE","BABYCH",521
"DAVE","ELLETT",522
"DAVE","HUNTER",523
"DAVE","KEON",524
"DAVE","LANGEVIN",525
"DAVE","LUMLEY",526
"DAVE","SCHULTZ",527
"DAVE","TAYLOR",528
"DAVID","BACKES",529
"DAVID","BERNHARDT",530
"DAVID","BLOMGREN",531
"DAVID","BOOTH",532
"DAVID","EDSTROM",533
"DAVID","GOYETTE",534
"DAVID","GRANBERG",535
"DAVID","GUSTAFSSON",536
"DAVID","JIRICEK",537
"DAVID","JONES",538
"DAVID","KAMPF",539
"DAVID","LILJA",540
"DAVID","PASTRNAK",541
"DAVID","PERRON",542
"DAVID","QUENNEVILLE",543
"DAVID","REINBACHER",544
"DAVID","SPACEK",545
"DAVID","TOMASEK",546
"DAWSON","BARTEAUX",547
"DAWSON","MERCER",548
"DAXON","RUDOLPH",549
"DAYLAN","KUEFLER",550
"DEAN","PRENTICE",551
"DECLAN","CARLILE",552
"DECLAN","CHISHOLM",553
"DENI","GOURE",554
"DENIS","MALGIN",555
"DENIS","POTVIN",556
"DENIS","SAVARD",557
"DENNIS","CESANA",558
"DENNIS","CHOLOWSKI",559
"DENNIS","EVERBERG",560
"DENNIS","GILBERT",561
"DENNIS","HEXTALL",562
"DENNIS","HULL",563
"DENNIS","KEARNS",564
"DENNIS","MARUK",565
"DENNIS","RASMUSSEN",566
"DENTON","MATEYCHUK",567
"DEREK","FORBORT",568
"DEREK","KING",569
"DEREK","PLANTE",570
"DEREK","ROY",571
"DERRICK","POULIOT",572
"DERYK","ENGELLAND",573
"DEVON","TOEWS",574
"DICK","DUFF",575
"DIDRIK","STROMBERG",576
"DILLON","BOUCHER",577
"DIMITRY","AFANASENKOV",578
"DINO","KAMBEITZ",579
"DJIBRIL","TOURE",580
"DMITRI","KUZMIN",581
"DMITRI","MIRONOV",582
"DMITRI","VORONKOV",583
"DMITRY","KULIKOV",584
"DMITRY","ORLOV",585
"DMITRY","OSIPOV",586
"DOMENICK","FENSORE",587
"DOMINIC","MOORE",588
